peak_order,sample_index,milliseconds,timestamp
1,144,720.0,2018-04-17 18:32:10.720000
2,324,1620.0,2018-04-17 18:32:11.620000
3,518,2590.0,2018-04-17 18:32:12.590000
4,701,3505.0,2018-04-17 18:32:13.505000
5,958,4790.0,2018-04-17 18:32:14.790000
6,1098,5490.0,2018-04-17 18:32:15.490000
7,1318,6590.0,2018-04-17 18:32:16.590000
8,1472,7360.0,2018-04-17 18:32:17.360000
9,1721,8605.0,2018-04-17 18:32:18.605000
10,1942,9710.0,2018-04-17 18:32:19.710000
11,2088,10440.0,2018-04-17 18:32:20.440000
12,2242,11210.0,2018-04-17 18:32:21.210000
13,2507,12535.0,2018-04-17 18:32:22.535000
14,2732,13660.0,2018-04-17 18:32:23.660000
15,2912,14560.0,2018-04-17 18:32:24.560000
16,3086,15430.0,2018-04-17 18:32:25.430000
17,3304,16520.0,2018-04-17 18:32:26.520000
18,3406,17030.0,2018-04-17 18:32:27.030000
19,3492,17460.0,2018-04-17 18:32:27.460000
20,3643,18215.0,2018-04-17 18:32:28.215000
21,3754,18770.0,2018-04-17 18:32:28.770000
22,3841,19205.0,2018-04-17 18:32:29.205000
23,3976,19880.0,2018-04-17 18:32:29.880000
24,4183,20915.0,2018-04-17 18:32:30.915000
25,4360,21800.0,2018-04-17 18:32:31.800000
26,4583,22915.0,2018-04-17 18:32:32.915000
27,4750,23750.0,2018-04-17 18:32:33.750000
28,4940,24700.0,2018-04-17 18:32:34.700000
29,5172,25860.0,2018-04-17 18:32:35.860000
30,5397,26985.0,2018-04-17 18:32:36.985000
31,5537,27685.0,2018-04-17 18:32:37.685000
32,5694,28470.0,2018-04-17 18:32:38.470000
33,5865,29325.0,2018-04-17 18:32:39.325000
34,6105,30525.0,2018-04-17 18:32:40.525000
35,6315,31575.0,2018-04-17 18:32:41.575000
36,6458,32290.0,2018-04-17 18:32:42.290000
37,6623,33115.0,2018-04-17 18:32:43.115000
38,6794,33970.0,2018-04-17 18:32:43.970000
39,7013,35065.0,2018-04-17 18:32:45.065000
40,7170,35850.0,2018-04-17 18:32:45.850000
41,7408,37040.0,2018-04-17 18:32:47.040000
42,7593,37965.0,2018-04-17 18:32:47.965000
43,7827,39135.0,2018-04-17 18:32:49.135000
44,8045,40225.0,2018-04-17 18:32:50.225000
45,8247,41235.0,2018-04-17 18:32:51.235000
46,8472,42360.0,2018-04-17 18:32:52.360000
47,8654,43270.0,2018-04-17 18:32:53.270000
48,8820,44100.0,2018-04-17 18:32:54.100000
49,8978,44890.0,2018-04-17 18:32:54.890000
50,9192,45960.0,2018-04-17 18:32:55.960000
51,9460,47300.0,2018-04-17 18:32:57.300000
52,9603,48015.0,2018-04-17 18:32:58.015000
53,9792,48960.0,2018-04-17 18:32:58.960000
54,9964,49820.0,2018-04-17 18:32:59.820000
55,10162,50810.0,2018-04-17 18:33:00.810000
56,10397,51985.0,2018-04-17 18:33:01.985000
57,10599,52995.0,2018-04-17 18:33:02.995000
58,10844,54220.0,2018-04-17 18:33:04.220000
59,11028,55140.0,2018-04-17 18:33:05.140000
